true_roi,pred_roi,iou,fid,is,dice
dataset/tasks/map_99/task_90_roi.png,results/roi_0.png,0.6277624368667603,100.34532928466795,1.0192179675102233,0.7713194489479065
dataset/tasks/map_99/task_91_roi.png,results/roi_1.png,0.6277624368667603,100.34532928466795,1.0192179675102233,0.7713194489479065
dataset/tasks/map_99/task_92_roi.png,results/roi_2.png,0.6277624368667603,100.34532928466795,1.0192179675102233,0.7713194489479065
dataset/tasks/map_99/task_93_roi.png,results/roi_3.png,0.6277624368667603,100.34532928466795,1.0192179675102233,0.7713194489479065
dataset/tasks/map_99/task_94_roi.png,results/roi_4.png,0.6277624368667603,100.34532928466795,1.0192179675102233,0.7713194489479065
dataset/tasks/map_99/task_95_roi.png,results/roi_5.png,0.6666666865348816,74.4620132446289,1.0192179675102233,0.800000011920929
dataset/tasks/map_99/task_96_roi.png,results/roi_6.png,0.8427128195762634,62.35856628417969,1.0192179675102233,0.9146437048912048
dataset/tasks/map_99/task_97_roi.png,results/roi_7.png,0.8577777743339539,52.176361083984375,1.0192179675102233,0.9234449863433838
dataset/tasks/map_99/task_98_roi.png,results/roi_8.png,0.751971960067749,97.68260192871094,1.0192179675102233,0.8584291934967041
dataset/tasks/map_99/task_99_roi.png,results/roi_9.png,0.6277624368667603,100.34532928466795,1.0192179675102233,0.7713194489479065